icao,type,description,frequency_mhz
RJFK,GND,GND,121.7
RJFK,TCA,TCA,120
RJFK,TWR,TWR,118.2
RJFM,APP,APP,121.4
RJFM,ATIS,ATIS,126.8
RJFM,DEP,DEP,120.1
RJFM,GND,GND,121.9
RJFM,TWR,TWR,118.3
RJFN,APP,MIYAZAKI APP,120.1
RJFN,GND,GND,27.58
RJFN,PMSV,METRO,34.46
RJFN,TWR,TWR,126.2
RJFO,APP,APP,120.6
RJFO,ATIS,ATIS,127.8
RJFO,DEP,DEP,119.05
RJFO,GND,GND,121.6
RJFO,TWR,TWR,118.8
RJFR,RDO,RDO,118.85
RJFS,A/G,REMOTE,118.05
RJFS,DEP,FUKUOKA DEP,119.7
RJFS,RDO,RDO,118.025
RJFT,APP,FUKUOKA CON,118.9
RJFT,APP,APP,119
RJFT,ATIS,ATIS,128.8
RJFT,DEP,DEP,122.9
RJFT,GND,GND,121.8
RJFT,RCO,KAGOSHIMA FSC,118.7
RJFT,RDR,RAD,122.9
RJFT,TCA,TCA,123.85
RJFT,TWR,TWR,118.7
RJFU,APP,APP,119.175
RJFU,ATIS,ATIS,126.85
RJFU,DEP,DEP,121
RJFU,GND,GND,121.6
RJFU,TWR,TWR,118.5
RJFY,APP,APP,122.15
RJFY,ATIS,ATIS,24.68
RJFY,GND,GND,23.68
RJFY,TWR,TWR,126.2
RJFZ,APP,APP,120.1
RJFZ,DEP,DEP,120.1
RJFZ,GND,GND,126.2
RJFZ,TCA,TCA,127.95
RJFZ,TWR,TWR,126.2
RJGG,APP,APP,121.05
RJGG,ATIS,ATIS,121.075
RJGG,CLD,CLD,121.85
RJGG,DEP,DEP,120
RJGG,GND,GND,121.8
RJGG,RDR,RDR,125.5
RJGG,TCA,TCA,119.25
RJGG,TWR,TWR,118.85
RJKA,A/G,RDO,118.15
RJKA,ACC,NAHA CON,132.3
RJKA,INFO,NAHA INFO,134.8
RJKB,A/G,REMOTE,118.05
RJKB,ACC,NAHA CON,132.3
RJKI,RDO,REMOTE,118
RJKN,A/G,REMOTE,122.7
RJNA,APP,CENTRAIR APP,121.05
RJNA,CLD,CLNC DEL,121.75
RJNA,DEP,CENTRAIR DEP,121.225
RJNA,GND,GND,121.7
RJNA,TCA,CENTRAIR TCA,119.25
RJNA,TWR,TWR,118.7
RJNF,APP,KOMATSU APP,120.1
RJNF,RDO,RDO,118.6
RJNG,APP,NAGOYA APP,120.3
RJNG,DEP,NAGOYA DEP,120.7
RJNG,GND,GND,27.58
RJNG,TWR,TWR,122
RJNH,APP,APP,120.1
RJNH,DEP,DEP,120.1
RJNH,GND,GND,126.2
RJNH,PMSV,PMSV,34.46
RJNH,TCA,TCA,127.95
RJNH,TWR,TWR,126.2
RJNK,APP,APP,120.1
RJNK,DEP,DEP,120.1
RJNK,GND,GND,121.7
RJNK,TCA,TCA,127.95
RJNK,TWR,TWR,118.25
RJNO,RDO,REMOTE,118.65
RJNT,TWR,TWR,124.3
RJNW,ACC,TOKYO CON,132.45
RJNW,RDO,RDO,118.05
RJNY,TWR,TWR,120.1
RJOA,APP,APP,124.05
RJOA,ATIS,ATIS,127.25
RJOA,DEP,DEP,119.9
RJOA,RDR,RADAR,124.05
RJOA,TWR,TWR,118.6
RJOB,APP,TAKAMATSU APP,120.4
RJOB,TWR,TWR,124.3
RJOC,APP,MIHO APP,120.1
RJOC,RDO,RDO,122.7
RJOF,GND,GND,133
RJOF,TWR,TWR,126.2
RJOH,A/D,APP/DEP,120.1
RJOH,GND,GND,118
RJOH,PMSV,METRO,34.46
RJOH,TWR,TWR,126.2
RJOI,ACC,FUKUOKA CON,126.1
RJOI,APP,APP,128
RJOI,ATIS,ATIS,128.4
RJOI,CLD,CLNC DEL,135.7
RJOI,DEP,DEP,128
RJOI,GND,GND,121.3
RJOI,INFO,FUKUOKA INFO IWAKUNI,128.2
RJOI,PMSV,METRO,34.46
RJOI,PTD,PTD,134.1
RJOI,TWR,TWR,123.8
RJOK,APP,APP,125
RJOK,ATIS,ATIS,126.45
RJOK,DEP,DEP,124.8
RJOK,TWR,TWR,118.75
RJOM,APP,IWAKUNI APP,128
RJOM,ATIS,ATIS,126.65
RJOM,TWR,TWR,118.35
RJOO,APP,KANSAI APP,120.45
RJOO,ATIS,ATIS,128.6
RJOO,CLD,CLNC DEL,118.8
RJOO,DEP,KANSAI DEP,119.5
RJOO,GCA,GCA,127.5
RJOO,GND,GND,121.7
RJOO,TCA,TCA,121.1
RJOO,TWR,TWR,118.1
RJOR,RDO,RDO,118.15
RJOS,APP,APP,124
RJOS,ATIS,ATIS,24.68
RJOS,DEP,DEP,120.1
RJOS,TWR,TWR,118
RJOT,APP,APP,121.2
RJOT,ATIS,ATIS,127.45
RJOT,DEP,DEP,120.4
RJOT,TCA,TCA,119.025
RJOT,TWR,TWR,118.3
RJOW,RDO,RDO,118.55
RJOY,APP,KANSAI APP,120.45
RJOY,GND,GND,121.8
RJOY,TWR,TWR,124.35
RJOZ,ATIS,ATIS,24.58
RJOZ,TWR,TWR,122
RJSA,ACC,SAPPORO CON,133.3
RJSA,TWR,TWR,118.3
RJSC,ACC,TOKYO CON,118.9
RJSD,RDO,REMOTE,118.15
RJSF,RDO,RDO,118.05
RJSH,APP,MISAWA APP,120.7
RJSH,ATIS,ATIS,24.58
RJSH,DEP,MISAWA DEP,125.3
RJSH,TWR,TWR,126.2
RJSI,ACC,SAPPORO CON,124.5
RJSI,RDO,RDO,118.2
RJSK,A/G,SAPPORO INFO,127.1
RJSK,TWR,TWR,118.6
RJSM,APP,APP,120.7
RJSM,ATIS,ATIS,128.4
RJSM,CLD,CLNC DEL,118.65
RJSM,DEP,DEP,125.3
RJSM,GND,GND,118.65
RJSM,MISC,DRAUGHON RANGE CON,36.54
RJSM,PMSV,METRO,34.46
RJSM,POST,COMD POST,141.6
RJSM,PTD,PTD,131.45
RJSM,TCA,TCA,124.05
RJSM,TWR,TWR,125.3
RJSN,APP,APP,121.4
RJSN,ATIS,ATIS,128.45
RJSN,DEP,DEP,119.05
RJSN,TWR,TWR,118
RJSR,RDO,RDO,118.75
RJSS,APP,APP,120.4
RJSS,ATIS,ATIS,126.45
RJSS,DEP,DEP,120
RJSS,GND,GND,121.7
RJSS,TCA,TCA,121.025
RJSS,TWR,TWR,118.7
RJST,APP,APP,120.1
RJST,DEP,DEP,120.1
RJST,GCA,RDR,134.1
RJST,GND,GND,27.58
RJST,TCA,TCA,123.85
RJST,TWR,TWR,126.2
RJSY,A/G,RDO,118.8
RJTA,A/G,BIDDY ATSUGI,305
RJTA,APP,YOKOTA APP,123.8
RJTA,ATIS,ATIS,24.68
RJTA,DEP,YOKOTA DEP,122.1
RJTA,GND,GND,141.2
RJTA,PMSV,METRO,30.6
RJTA,TWR,TWR,126.2
RJTE,APP,TOKYO APP,119.1
RJTE,TWR,TWR,126.2
RJTH,A/G,RDO,118.7
RJTJ,APP,YOKOTA APP,118.3
RJTJ,DEP,YOKOTA DEP,122.1
RJTJ,GND,GND,27.58
RJTJ,TWR,TWR,126.2
RJTK,APP,TOKYO APP,119.1
RJTK,TWR,TWR,126.2
RJTL,APP,TOKYO APP,126
RJTL,DEP,TOKYO DEP,126
RJTL,GCA,PAR,30.22
RJTL,GND,GND,138.3
RJTL,TWR,TWR,138.3
RJTO,RDO,RDO,118.6
RJTQ,A/G,RDO,118.05
RJTR,OPS,OPS,36.8
RJTR,PMSV,YOKOTA METRO,34.46
RJTR,TWR,TWR,122.5
RJTT,A/G,NORTH PACIFIC AREA,126.9
RJTT,APP,APP,119.1
RJTT,ATIS,ATIS,128.8
RJTT,CLR,CLNC DEL,121.825
RJTT,DEP,,120.8
RJTT,DEP,DEP,126
RJTT,GND,,118.225
RJTT,GND,,121.625
RJTT,GND,GND,121.7
RJTT,GND,,121.975
RJTT,TCA,,119.45
RJTT,TCA,TCA,124.75
RJTT,TWR,TWR,118.1
RJTT,TWR,,118.575
RJTT,TWR,,118.725
RJTT,TWR,,124.35
RJTU,APP,APP,120.1
RJTU,TWR,TWR,23.68
RJTY,A/G,AG,29.21
RJTY,AAS,RADAR ADVSY SVC,118.3
RJTY,APP,APP,118.3
RJTY,ATIS,ATIS,128.4
RJTY,CLD,CLNC DEL,131.4
RJTY,DEP,DEP,122.1
RJTY,GND,GND,133.2
RJTY,PMSV,PMSV METRO,34.46
RJTY,POST,AMC COMD POST,128
RJTY,PTD,PTD,119
RJTY,RDO,374 AW COM CNTR,128
RJTY,TWR,TWR,134.3
RKJJ,APP,APP,130
RKJJ,ARR,GWANJU ARRIVAL,132.25
RKJJ,ATIS,ATIS,128.875
RKJJ,DEP,DEP,124
RKJJ,EMR,EMR,121.5
RKJJ,GND,GND,118.05
RKJJ,TWR,TWR,126.2
RKJK,ACP,AMC COMD POST/TACC,120
RKJK,APP,APP,124.1
RKJK,ATIS,ATIS,120.225
RKJK,CLD,CLNC DEL,133.75
RKJK,DEP,DEP,124.1
RKJK,GND,GND,123.5
RKJK,PMSV,PMSV METRO,34.65
RKJK,POST,COMD POST,27.72
RKJK,PTD,PTD,132.25
RKJK,TWR,TWR,126.5
RKJM,APP,GWANGJU APP,130
RKJM,ATIS,ATIS,129.25
RKJM,DEP,GWANGJU DEP,130
RKJM,TWR,TWR,118.7
RKJU,ACP,BRICKWALL,120
RKJU,TWR,TWR,31
RKJY,APP,SACHEON APP,135.4
RKJY,GND,GND,118.525
RKJY,TWR,TWR,122.5
RKNN,A/D,APP/DEP,124.6
RKNN,ACP,BRICKWALL,120
RKNN,ATIS,ATIS,132.05
RKNN,GND,GND,27.58
RKNN,TWR,TWR,126.2
RKNW,ACP,BRICKWALL,120
RKNW,APP,APP,141.2
RKNW,ATIS,ATIS,136.45
RKNW,DEP,DEP,130.2
RKNW,GCCD,GND CLNC DEL,27.58
RKNW,TWR,TWR,126.2
RKNY,APP,GANGNEUNG APP,124.6
RKNY,CLD,CLD,123.15
RKNY,DEP,GANGNEUNG DEP,124.6
RKNY,GND,GND,123.15
RKNY,TWR,TWR,118.85
RKPC,APP,APP,119
RKPC,ATIS,ATIS,126.8
RKPC,DEP,DEP,121.2
RKPC,GND,GND,121.65
RKPC,MISC,BRICKWALL,120
RKPC,TWR,TWR,118.1
RKPD,APP,JEJU APP,119
RKPD,ATIS,ATIS,128.25
RKPD,DEP,JEJU DEP,121.2
RKPD,TWR,TWR,130.5
RKPE,ACP,BRICKWALL,120
RKPE,APP,GIMHAE APP,135.7
RKPE,TWR,TWR,126.2
RKPK,ACP,BRICKWALL,120
RKPK,APP,APP,135.7
RKPK,ARR,ARR,119.2
RKPK,ATIS,ATIS,126.6
RKPK,CLD,CLNC DEL,121.8
RKPK,DEP,DEP,125.5
RKPK,GND,GND,121.9
RKPK,OPS,COWBOY OPS,133.825
RKPK,TWR,TWR,118.1
RKPS,ACP,BRICKWALL,120
RKPS,APP,APP,119.725
RKPS,ATIS,ATIS,132.35
RKPS,DEP,DEP,119.725
RKPS,GND,GND,27.58
RKPS,RDR,RAPCON,119.725
RKPS,TWR,TWR,130.2
RKPU,ACP,BRICKWALL,120
RKPU,APP,POHANG APP,124.25
RKPU,ATIS,ATIS,127.35
RKPU,TWR,TWR,122.6
RKRA,ACP,BRICKWALL,120
RKRA,Tower,Ga-Nap-TWR,121.85
RKRB,APP,SEOUL APP,120.8
RKRB,TWR,BU CHEON TWR,38
RKRG,TWR,YANG PYEONG TWR,38
RKRK,TWR,MAENG HO TWR,38
RKRN,APP,OSAN APP,127.9
RKRN,DEP,OSAN DEP,127.9
RKRN,GCA,GCA,144
RKRN,GND,GND,51.15
RKRN,TWR,TWR,123.5
RKRP,FCC,FCC EVENREACH,36.9
RKRP,TWR,PA JU TWR,38
RKSG,A/D,OSAN APP/DEP,127.9
RKSG,ACP,BRICKWALL,120
RKSG,ATIS,ATIS,108.2
RKSG,GND,DESIDERIO GND,119.5
RKSG,OPS,DESIDERIO OPS,37.95
RKSG,PMSV,PMSV METRO,37.3
RKSG,TWR,DESIDERIO TWR,34.95
RKSI,APP,SEOUL APP,120.8
RKSI,ATIS,ATIS,23.025
RKSI,CLD,CLNC DEL,121
RKSI,DEP,SEOUL DEP,121.35
RKSI,GND,GND,121.4
RKSI,RMP,RAMP CON,121.65
RKSI,TWR,TWR,118.2
RKSM,ACP,BRICKWALL,120
RKSM,APP,APP,123.8
RKSM,ATIS,ATIS,136.95
RKSM,DEP,DEP,121.15
RKSM,GCA,GCA,136.8
RKSM,GND,GND,121.85
RKSM,PMSV,PMSV,62.45
RKSM,PTD,DRAGON OPS,62.45
RKSM,TWR,TWR,126.2
RKSO,APP,APP,127.9
RKSO,ATIS,ATIS,132.125
RKSO,CLD,CLNC DEL,127.3
RKSO,DEP,DEP,127.9
RKSO,GND,GND,132.45
RKSO,PMSV,PMSV METRO,34.65
RKSO,PTD,PTD,120.7
RKSO,TWR,TWR,122.1
RKSS,A/G,SEOUL RDO,127.1
RKSS,A/G,SEOUL RDO,1330.3
RKSS,ACP,BRICKWALL,120
RKSS,APP,SEOUL APP,120.8
RKSS,ATIS,ATIS,126.4
RKSS,CLD,CLNC DEL,122.6
RKSS,DEP,SEOUL DEP,125.15
RKSS,GND,GND,121.9
RKSS,TWR,TWR,118.1
RKSW,A/D,OSAN APP/DEP,127.9
RKSW,ACP,BRICKWALL,120
RKSW,ATIS,ATIS,126.425
RKSW,GCA,GCA,34.655
RKSW,GND,GND,27.58
RKSW,OPS,25TH TFS,22.9
RKSW,PMSV,PMSV METRO,34.65
RKSW,POST,USAF SUWON COMD POST,22.9
RKSW,TWR,TWR,126.2
RKTE,GND,GND,134.55
RKTE,TWR,TWR,131.3
RKTH,A/D,APP/DEP,124.25
RKTH,ACP,BRICKWALL,120
RKTH,ATIS,ATIS,128.725
RKTH,GND,GND,126.2
RKTH,TWR,TWR,118.05
RKTI,APP,APP,132.55
RKTI,ATIS,ATIS,135.6
RKTI,DEP,DEP,132.55
RKTI,GCCD,GND CLNC DEL,27.58
RKTI,TWR,TWR,126.2
RKTN,ACP,BRICKWALL,120
RKTN,ATIS,ATIS,127.65
RKTN,CLD,CLNC DEL,118.2
RKTN,PMSV,KUNSAN METRO,34.65
RKTN,RKTN_APP,Daegu Intl Approach,135.9
RKTN,RKTN_DEP,Daegu Intl Departure,135.9
RKTN,RKTN_GND,Daegu Intl Ground,118.2
RKTN,RKTN_TWR,Daegu Intl Tower,126.2
RKTP,APP,HAEMI APP,124.6
RKTP,ATIS,ATIS,130.3
RKTP,CLD,CLNC DEL,27.58
RKTP,DEP,DEP,124.6
RKTP,GND,GND,27.58
RKTP,TWR,HAEMI TWR,126.2
RKTU,ACP,BRICKWALL,120
RKTU,APP,JUNGWON APP,134
RKTU,ATIS,ATIS,128.85
RKTU,DEP,JUNGWON DEP,134
RKTU,RKTU_APP,Cheongju Intl Approach,134
RKTU,RKTU_GND,Cheongju Intl Ground,120.65
RKTU,RKTU_TWR,Cheongju Intl Tower,118.7
RKTY,ACP,BRICKWALL,120
RKTY,APP,APP,134.5
RKTY,ATIS,ATIS,136.8
RKTY,DEP,DEP,134.5
RKTY,GND,GND,124.35
RKTY,TWR,TWR,124.35
RKUC,TWR,CHOCHIWON TWR,40.6
RKUL,GND,GND,47
RKUL,OPS,GYERYONG OPS,30.3
RKUL,TWR,NON SAN TWR,38
ROAH,A/G,CENTRAL WEST PACIFIC,126.9
ROAH,ATIS,ATIS,127.8
ROAH,CLD,CLNC DEL,122.075
ROAH,GND,GND,121.8
ROAH,TWR,TWR,118.1
RODE,CTAF,CTAF,28.73
RODE,OPS,BASE OPS,44.8
RODN,A/D,OKINAWA APP/DEP,33.58
RODN,ATIS,ATIS,124.2
RODN,CLD,CLNC DEL,123.3
RODN,GND,GND CTL,118.5
RODN,MISC,AIR MOBILIY CTRL CTR,128
RODN,OPS,BASE OPS,26.6
RODN,PMSV,METRO,34.46
RODN,POST,18 WG COMD POST,31.1
RODN,PTD,PTD,131.4
RODN,TWR,TWR,126.2
ROKJ,A/G,REMOTE,122.7
ROMD,A/G,DAITOU REMOTE,126.2
ROMY,APP,SHIMOJI APP,120.3
ROMY,TWR,TWR,118.2
RORK,A/G,DAITOU REMOTE,126.2
RORK,ACC,NAHA CON,124.5
RORS,APP,APP,120.3
RORS,DEP,DEP,125
RORS,GND,GND,121.7
RORS,TWR,TWR,118.3
RORT,A/G,REMOTE,118.6
RORY,A/G,REMOTE,118.3
ROTM,ATIS,ATIS,23.03
ROTM,GND,GND,122.8
ROTM,PMSV,METRO,29.06
ROTM,PTD,PTD,30.74
ROTM,TWR,TWR,123.6
ROYN,A/G,REMOTE,118.5
RPLB,APP,APP,119.1
RPLB,ATIS,ATIS,134.4
RPLB,CLD,CLNC DEL,121.3
RPLB,FSS,RDO,544.75
RPLB,GCA,GND,121.8
RPLB,TWR,TWR,118.2
RPLC,A/D,APP,119.2
RPLC,ATIS,ATIS,127.2
RPLC,CLD,CLNC DEL,125.2
RPLC,FSS,RDO,544.75
RPLC,TWR,TWR,118.7
RPLI,A/D,APP,122.3
RPLI,RDO,RDO,124
RPLI,TWR,TWR,118.1
RPLJ,CTAF,Jomalig Traffic,121.9
RPLL,A/D,MANILA APP,119.7
RPLL,ACC,MANILA CON,128.3
RPLL,ATIS,MANILA ATIS,126.4
RPLL,CLD,CLNC DEL,125.1
RPLL,FSS,MANILA RDO,544.75
RPLL,GND,GND,121.9
RPLL,RMP,RAMP 1,121.7
RPLL,TWR,MANILA TWR,118.1
RPLS,TWR,TWR,126.2
RPLV,TWR,TWR,126.25
RPMC,APP,APP,113.7
RPMC,TWR,TWR,118.7
RPMD,APP,DAVAO APP,122.4
RPMD,ATIS,ATIS,127
RPMD,RDO,DAVAO RDO,124
RPMD,TWR,DAVAO TWR,118.1
RPME,TWR,TWR,123.2
RPMG,FSS,RDO,122.1
RPMI,FSS,RDO,123.5
RPMJ,FSS,RDO,122.2
RPML,APP,APP,122.3
RPML,TWR,TWR,127.9
RPMN,FSS,RDO,122.1
RPMP,FSS,RDO,122
RPMR,APP,APP,119.1
RPMR,RDO,RDO,680.25
RPMR,TWR,TWR,118.4
RPMS,FSS,RDO,122
RPMW,FSS,RDO,122.6
RPMY,APPR,,124.27
RPMY,FSS,Laguindingan Radio,126.7
RPMY,TWR,,116.1
RPMZ,APP,APP,122.7
RPMZ,FSS,RDO,124
RPMZ,TWR,TWR,123.5
RPUA,RDO,,122.8
RPUF,TWR,TWR,118.1
RPUH,FSS,RDO,118.3
RPUI,Multicom,,121.9
RPUL,A/G,AIR GND,652.5
RPUL,TWR,TWR,118.1
RPUM,FSS,RDO,122.1
RPUN,FSS,RDO,122.1
RPUN,TWR,TWR,122.1
RPUO,FSS,RDO,122
RPUO,TWR,TWR,123.5
RPUQ,FSS,RDO,120.1
RPUS,FSS,RDO,122.1
RPUS,TWR,TWR,122.1
RPUT,FSS,RDO,122.8
RPUV,FSS,RDO,122.2
RPUW,RDO,RDO,122
RPUX,TWR,,122.4
RPUY,FSS,RDO,122.7
RPUZ,FSS,RDO,123.4
RPVA,APP,TACLOBAN APP,120.8
RPVA,TWR,TACLOBAN TWR,122.1
RPVB,approach,,121
RPVB,TOWER,,118.8
RPVD,TWR,TWR,129.7
RPVE,FSS,RDO,520.5
RPVE,TWR,TWR,122.7
RPVF,CTAF,Oshkosh Traffic,122.7
RPVI,A/D,BACOLOD APP,121
RPVI,TWR,TWR,123.4
RPVJ,RDO,RDO,122
RPVK,APCH,Kalibo Approach,123.1
RPVK,TWR,Kalibo Tower,124.2
RPVM,ACC,CON,127.5
RPVM,APP,APP,124.7
RPVM,ATIS,ATIS,126.6
RPVM,CLD,CLNC,125.1
RPVM,CTAF,UNI,121.9
RPVM,DEP,Departure,121.2
RPVM,FOC,OPS,118.5
RPVM,FSS,RDO,124
RPVM,GND,GND,121.8
RPVM,TWR,TWR,118.1
RPVO,UNICOM,Ormoc Traffic Advisory,121.9
RPVP,APP,APP,122
RPVP,FSS,RDO,544.75
RPVP,TWR,TWR,118.1
RPVR,TWR,TWR,118.5
RPVS,FSS,Antique Radio,127.1
RPVU,FSS,RDO,122.3
SAAC,AUX,AUX,122.1
SAAC,TWR,TWR,118.3
SAAG,TWR,TWR/APP,118.4
SAAP,TWR,PARANA TWR,119.6
SAAR,TWR,TWR/APP,118.7
SAAV,APP,APP,118.95
SAAV,TWR,TWR,118.5
SABE,APP,APP,120.6
SABE,ATIS,ATIS,127.6
SABE,CLD,CLNC DEL,129.3
SABE,GND,GND,121.9
SABE,TWR,TWR,118.85
SACA,GND,GND,121.9
SACA,RDO,FABRICA RDO,118.1
SACA,TWR,ESCUELA TWR,120.6
SACO,ATIS,ATIS,114.5
SACO,GND,GND,121.75
SACO,MISC,METAR NOTAM,342.55
SACO,TWR,CORDOBA TWR/APP,118.3
SADF,GND,GND,121.65
SADF,TWR,FERNANDO TWR,120.7
SADJ,APP,MORENO APP,119.7
SADJ,TWR,MORENO TWR,119.7
SADL,TWR,La Plata Aeradio,119.3
SADM,AUX,Auxiliary Freq,120.75
SADM,GND,Morón superficie,121.8
SADM,TWR,Moron Torre,118.5
SADO,GND,GND,124.5
SADO,TWR,TWR,123.8
SADP,TWR,PALOMAR TWR,118.9
SADZ,MTZA,Matanza torre,123.5
SAEZ,A/D,BAIRES CON,124.9
SAEZ,APP,EZEIZA APP,119.9
SAEZ,ATIS,ATIS,127.8
SAEZ,GCCD,GND/CLNC DEL,121.75
SAEZ,TWR,EZEIZA TWR,118.6
SAHR,RDO,ROCA RDO,119.4
SAME,ATIS,ATIS,114.9
SAME,GND,GND,121.95
SAME,TCA,MENDOZA CON,124.2
SAME,TWR,MENDOZA APP/TWR,119.9
SAMM,APP,APP/TWR,118.25
SAMR,TWR,TWR,118.1
SANC,TWR,TWR,118.15
SANE,TWR,SANTIAGO TWR,118.7
SANL,APP,APP/TWR,118.45
SANT,RDO,TUCUMAN RDO,122.5
SANT,TWR,TUCUMAN TWR/APP,119.5
SANU,APP,APP,119.35
SANU,TWR,TWR,119.35
SAOC,APP,APP/TWR,118.75
SAOD,RDO,RDO,118.1
SAOM,RDO,RDO,118.6
SAOR,RDO,REYNOLDS RDO,122.1
SAOR,TWR,REYNOLDS TWR,119.3
SAOS,A/G,RDO,122.1
SAOS,TWR,CONLARA TWR,119.9
SAOU,TWR,TWR,118.4
SARC,TWR,TWR,118.3
SARE,ACC,RESISTENCIA,119.5
SARE,RDO,RDO,122.3
SARE,TWR,TWR/APP,118.7
SARF,TWR,TWR,119.1
SARI,TWR,TWR/APP,120.7
SARL,TWR,LIBRES TWR/APP,120.3
SARM,RDO,RDO,118.7
SARP,TWR,TWR/APP,120.1
SARS,A/G,,118.9
SASA,RDO,RDO,126.9
SASA,TWR,TWR/APP,128.85
SASJ,TWR,TWR/APP,118.7
SASO,RDO,RDO,118.5
SAST,TWR,TWR,118.6
SATG,TWR,TWR,118.1
SATR,TWR,TWR/APP,119
SATU,RDO,RDO,118.1
SAVB,RDO,RDO,118.4
SAVC,ARR,COMODORO CON,124.3
SAVC,TWR,COMODORO TWR,119.9
SAVE,APP,APP/TWR,118.1
SAVJ,RDO,ING JACOBACCI RDO,122.3
SAVN,A/G,SAN ANTONIO OEST RDO,118.4
SAVT,RDO,RDO,122.1
SAVT,TWR,TWR/APP,118.7
SAVV,TWR,VIEDMA TWR,118.3
SAVY,TWR,MADRYN TWR,119.5
SAWB,TWR,MARAMBIO TWR,118.1
SAWC,APP,APP/TWR,119.95
SAWC,GND,GND,121.8
SAWD,RDO,DESEADO RDO,118.3
SAWE,TWR,GRANDE TWR/APP,118.3
SAWG,APP,APP/TWR,119.1
SAWG,ATIS,ATIS,116.7
SAWG,RDO,RDO,122.1
SAWG,TCA,CON,124.7
SAWH,RDO,RDO,122.1
SAWH,TWR,TWR/APP,118.1
SAWJ,RDO,RDO,118.1
SAWP,A/G,RDO,118.1
SAWU,A/G,RDO,118.6
SAZB,APP,BAHIA BLANCA APP,124.8
SAZB,GND,GND,121.9
SAZB,RDO,RDO,296.5
SAZB,TWR,ESPORA TWR,119.15
SAZD,CTAF,,123.5
SAZF,RDO,RDO,118.1
SAZG,APP,PICO TWR,119
SAZL,RDO,RDO,122.1
SAZM,A/D,CON,124.4
SAZM,GND,GND,121.7
SAZM,TWR,TWR/APP,118.75
SAZN,TWR,NEUQUEN TWR/APP,119.3
SAZO,RDO,RDO,118.1
SAZP,TWR,PEHUAJO TWR,118.35
SAZR,RDO,RDO,296.5
SAZR,TWR,TWR,118.3
SAZS,ATIS,ATIS,127.9
SAZS,RDO,BARILOCHE RDO,122.3
SAZS,TWR,BARILOCHE TWR/APP,119.1
SAZT,APP,APP,119.4
SAZT,ARR,CON,120.9
SAZT,TWR,TWR,119.4
SAZV,TWR,GESELL TWR/APP,119
SAZW,RDO,RDO,121.9
SAZY,GND,GND,121.7
SAZY,TWR,CHAPELCO TWR,119.6
SBAA,AFIS,ARAGUAIA RDO,125.7
SBAE,AFIS,RADIO AREALVA,126.6
SBAE,APP,BAURU APP,121.3
SBAF,APP,RIO APP,119.35
SBAF,GND,AFONSOS,121.85
SBAF,TWR,AFONSOS TWR,118.9
SBAM,AFIS,RDO,125.7
SBAN,APP,APP,119.15
SBAN,GND,GND,121.9
SBAN,OPS,OPS,122.5
SBAN,TWR,TWR,118.3
SBAQ,AFIS,RDO,131.6
SBAR,APP,ARACAJU APP,120.3
SBAT,RDO,RDO,126.6
SBAU,RDO,RDO,130.6
SBAX,AFIS,RDO,130.35
SBBE,APP,BELEM APP,119.05
SBBE,ATIS,BELEM ATIS,127.6
SBBE,GND,GND,121.9
SBBE,OPS,BELEM OPS,122.5
SBBE,TWR,BELEM TWR,118.7
SBBG,AFIS,BAGE RDO,125.85
SBBH,APP,BELO HORIZONTE APP,120.2
SBBH,ATIS,BELO HORIZONTE ATIS,127.45
SBBH,CLD,BELO HORIZONTE TRAFF,121.1
SBBH,GND,GND,121.6
SBBH,OPS,SAO PAULO OPS,122.5
SBBH,TWR,BELO HORIZONTE TWR,118
SBBI,APP,CURITIBA APP,119.95
SBBI,GND,GND,121.8
SBBI,TWR,TWR,118.9
SBBQ,AFIS,RDO,125.9
SBBR,APP,BRASILIA APP,119.2
SBBR,ATIS,BRASILIA ATIS,127.8
SBBR,CLD,BRASILIA CLNC DEL,121.8
SBBR,GND,GND,121.8
SBBR,OPS,BRASILIA OPS,122.5
SBBR,PMSV,BRASILIA METRO,132.6
SBBR,TWR,BRASILIA TWR,118.45
SBBT,AFIS,BARRETOS RDO,130.2
SBBU,AFIS,RDO,121.3
SBBU,APP,APP,121.3
SBBU,ATIS,ATIS,127.875
SBBV,APP,APP,120.1
SBBV,GND,GND,121.7
SBBV,OPS,OPS,122.5
SBBV,TWR,TWR,118.1
SBBW,AFIS,GARCAS RDO,125.9
SBBZ,AFIS,BUZIOS RDO,131.75
SBBZ,APP,ALDEIA APP,119.45
SBCA,AFIS,RDO,131.85
SBCB,AFIS,RDO,132.15
SBCC,AFIS,RDO,125.9
SBCD,RDO,RDO,130.05
SBCF,APP,BELO HORIZONTE APP,120.2
SBCF,ATIS,BELO HORIZONTE ATIS,127.45
SBCF,CLD,CONFINS CLNC DEL,121
SBCF,GND,GND,121.9
SBCF,OPS,BELO HORIZONTE OPS,122.5
SBCF,TWR,CONFINS TWR,118.2
SBCG,APP,APP,120.2
SBCG,GND,GND,121.9
SBCG,OPS,OPS,122.5
SBCG,TWR,TWR,118.1
SBCH,AFIS,RDO,130.85
SBCI,AFIS,RDO,126.6
SBCJ,AFIS,RDO,131.7
SBCM,AFIS,CRICIUMA RDO,131.95
SBCO,APP,PALEGRE APP,119
SBCO,ATIS,ATIS,127.85
SBCO,GND,GND,121.7
SBCO,OPS,OPS,122.5
SBCO,TWR,TWR,118.5
